FLOWS	STATE	ADR	CLK	CIR	WR	CB	CD	CBA	BUS	DAD	SPS	ALU	SBC	SBM	SDM	SBA	UBF	SRX	RIF	UPF	MM
07	DOP02	102	2	0	0	1	0	0	0	00	0	00	00	00	0	0	31	04	00	364	17
07	DOP00	103	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	10	00	363	17

07	SSL02	104	4	0	0	0	1	0	0	14	0	00	00	00	0	0	31	04	00	373	17
07	SSL00	105	2	0	0	1	0	0	0	00	0	00	00	00	0	0	31	04	00	372	17
09	RSR00	106	6	0	0	1	1	0	0	00	1	00	00	00	3	0	00	04	00	271	17
09	RSR02	107	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	04	00	272	17

07	NBR00	110	2	0	0	0	0	0	0	00	0	00	00	00	0	0	16	01	13	347	17
07	BRA00	111	4	0	0	0	1	0	0	00	0	11	00	05	0	0	00	01	07	340	17
05	MRK00	112	6	0	0	1	1	0	0	00	0	11	00	00	2	0	00	01	13	353	17
06	TRP12	113	2	0	0	0	0	0	0	00	0	00	00	00	2	0	00	00	00	330	13

10	SER00	114	6	0	0	0	0	0	0	00	0	00	00	00	0	0	26	01	13	015	17
06	TRP09	115	2	0	3	0	0	0	0	00	0	00	00	00	1	0	00	01	10	326	11
07	CCC00	116	6	0	0	1	1	0	0	00	0	33	12	17	2	0	00	01	13	350	17
07	SCC00	117	6	0	0	1	1	0	0	00	0	33	12	17	2	0	16	01	13	352	17

08	DOP15	120	2	0	0	1	0	0	0	00	0	00	00	00	0	0	31	04	00	371	17
08	DOP13	121	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	01	11	370	17
11	CON00	122	6	0	0	0	0	1	0	00	0	00	00	00	2	1	00	01	07	255	17
10	SER03	123	6	0	0	0	0	0	0	00	0	00	00	00	0	0	26	01	13	015	17

06	RTS00	124	4	0	0	0	1	0	0	00	0	00	00	00	0	0	00	04	00	323	17
04	MOV22	125	7	0	0	0	0	0	0	12	3	00	00	00	2	0	16	00	00	375	17
06	TRP06	126	6	0	3	0	1	0	0	00	0	32	00	17	2	0	00	01	14	007	17
06	RST00	127	4	0	0	0	1	0	0	00	0	00	00	00	2	0	00	01	00	025	17

07	SOB00	130	4	0	0	0	1	0	0	00	0	17	00	00	0	0	00	10	00	342	17
		131	0	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	000	17
08	SXT00	132	4	0	0	0	1	0	0	14	0	03	00	00	2	0	27	00	00	360	17
		133	0	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	000	17

07	SWB00	134	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	04	00	135	17
07	SWB01	135	4	0	0	0	1	0	0	00	0	32	00	12	2	0	27	00	00	360	17
01	FET06	136	6	0	3	0	1	1	0	00	0	06	01	17	2	0	00	01	07	217	17
02	SRC16	137	4	0	0	0	1	0	0	00	0	32	00	02	0	0	36	01	13	251	17

06	TRP16	140	2	0	0	0	0	0	0	00	7	00	00	00	0	0	04	01	10	332	15
02	SRC00	141	2	0	0	0	0	1	1	01	0	00	00	00	0	1	00	10	00	247	03
02	SRC01	142	4	0	0	0	1	1	1	01	0	11	03	17	0	1	00	10	00	240	03
02	SRC04	143	7	0	3	0	1	1	1	00	0	11	02	17	2	1	00	10	00	245	17

02	SRC02	144	4	0	0	0	1	1	1	01	0	06	03	17	0	0	00	10	00	240	03
02	SRC05	145	7	0	3	0	1	1	1	00	0	06	01	17	2	0	00	10	00	245	17
02	SRC06	146	7	0	3	0	1	0	0	00	0	11	02	17	2	0	00	01	07	241	17
02	SRC09	147	7	0	3	0	1	0	0	00	0	11	02	17	2	0	00	01	07	243	17

06	TRP07	150	6	0	3	0	1	0	0	00	0	32	00	17	2	0	00	01	14	007	17
05	JMP00	151	4	0	0	0	1	0	0	00	0	00	00	00	0	0	15	04	00	300	17
05	JMP01	152	6	0	3	0	1	0	0	00	0	11	02	17	2	0	00	04	00	235	17
05	JMP05	153	7	0	3	0	1	1	1	00	0	11	02	17	2	1	15	04	00	303	17

05	JMP03	154	6	0	3	0	1	0	0	00	0	06	01	17	2	0	15	04	00	300	17
05	JMP06	155	7	0	3	0	1	1	1	00	0	06	01	17	2	0	15	04	00	303	17
05	JMP08	156	7	0	3	0	1	0	0	00	0	11	02	17	2	0	15	01	07	304	17
05	JMP07	157	7	0	3	0	1	0	0	00	0	11	02	17	2	0	00	01	07	301	17

04	MOV19	160	4	0	0	0	1	0	0	00	0	00	00	00	0	0	20	01	11	204	17
03	DST00	161	2	0	0	0	0	1	3	07	0	00	00	00	0	1	00	04	00	266	16
03	DST01	162	4	0	0	0	1	1	3	07	0	11	03	17	0	1	00	04	00	260	16
03	DST04	163	7	0	3	0	1	1	1	00	0	11	02	17	2	1	00	04	00	264	17

03	DST02	164	4	0	0	0	1	1	3	07	0	06	03	17	0	0	00	04	00	260	16
03	DST05	165	7	0	3	0	1	1	1	00	0	06	01	17	2	0	00	04	00	264	17
03	DST07	166	7	0	3	0	1	0	0	00	0	11	02	17	2	0	17	01	07	261	17
03	DST06	167	7	0	3	0	1	1	1	00	0	11	02	17	2	1	17	01	07	261	17

04	MOV18	170	4	0	0	0	1	0	0	00	0	00	00	00	0	0	20	10	00	204	17
04	MOV00	171	4	0	0	0	1	1	0	07	0	00	00	00	0	1	22	04	00	257	17
04	MOV01	172	4	0	0	0	1	1	0	07	0	11	03	17	2	1	22	04	00	257	17
04	MOV03	173	7	0	3	0	1	1	1	01	0	11	02	17	2	1	00	04	00	207	17

04	MOV02	174	4	0	0	0	1	1	0	07	0	06	03	17	2	0	22	04	00	257	17
04	MOV04	175	7	0	3	0	1	1	1	01	0	06	01	17	2	0	00	04	00	207	17
04	MOV06	176	7	0	3	0	1	0	0	00	0	11	02	17	2	0	17	01	07	206	17
04	MOV05	177	7	0	3	0	1	1	1	00	0	11	02	17	2	1	17	01	07	206	17

04	MOV16	200	4	0	0	0	1	0	5	00	0	00	00	00	0	0	00	01	11	125	06
04	MOV17	201	4	0	0	0	1	0	5	00	0	11	16	17	0	0	00	10	00	125	06
04	MOV14	202	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	01	11	205	17
04	MOV13	203	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	10	00	205	17

04	MOV20	204	0	0	3	1	0	0	0	00	3	00	00	00	2	0	00	04	00	000	07
04	MOV15	205	6	0	3	0	1	0	7	00	0	32	00	10	2	0	00	01	11	125	16
04	MOV08	206	2	0	3	1	0	0	0	00	0	00	00	00	1	0	21	01	12	212	17
04	MOV11	207	2	0	3	1	0	0	0	00	0	00	00	00	1	0	22	01	12	210	17

04	MOV12	210	2	0	0	0	0	1	0	01	0	00	00	00	0	1	00	01	12	200	17
09	SSL10	211	2	0	0	0	0	0	0	00	1	00	00	00	2	0	00	00	00	367	17
04	MOV09	212	4	0	0	0	0	1	0	07	0	11	00	00	0	0	00	04	00	200	17
04	MOV10	213	5	0	0	0	0	1	1	01	0	11	00	00	0	0	00	04	00	207	17

06	TRP05	214	2	0	3	0	0	0	0	00	0	00	00	00	2	0	00	01	14	007	17
06	TRP02	215	5	0	0	0	0	1	1	00	0	11	02	17	0	0	00	01	14	115	13
06	TRP04	216	4	0	0	0	1	0	0	00	0	32	15	17	2	0	00	00	00	214	17
01	FET08	217	6	1	0	0	1	0	0	00	0	00	00	00	0	0	00	00	00	252	17

09	SSL06	220	4	0	0	0	1	0	5	17	0	00	00	00	2	0	00	01	12	211	16
09	SSL04	221	4	0	0	0	1	0	5	11	0	06	00	00	2	0	00	00	12	367	16
09	SSL08	222	4	0	0	0	1	0	0	14	0	00	00	00	0	0	00	01	12	253	17
09	SSL07	223	4	0	0	0	1	0	0	10	0	06	00	00	2	0	00	00	00	253	17

08	DOP07	224	4	0	0	0	1	0	5	17	0	00	00	00	0	0	00	10	00	367	16
08	DOP08	225	4	0	0	0	1	0	5	17	0	00	00	00	0	0	00	01	11	367	16
08	DOP04	226	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	10	00	365	17
08	DOP05	227	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	01	11	365	17

08	DOP09	230	4	0	0	0	1	0	0	14	0	00	00	00	0	0	00	10	00	254	17
